Shipment_ID,Shipment_Date,Region,Transport_Mode,Distance_km,Shipment_Volume_kg,Priority,Warehouse_Processing_Hours,Delivery_Time_Hours,Transportation_Cost,Delay_Hours,On_Time_Delivery,Customer_Rating
SHP0001,2025-04-13,South,Rail,2550,222.22,Standard,2.94,42.01,1250.13,0.2,Yes,4.9
SHP0002,2025-12-15,West,Rail,520,471.1,Standard,2.1,15.65,673.23,1.41,Yes,4.3
SHP0003,2025-09-28,North,Air,1037,57.52,Standard,3.28,6.4,1954.5,0.44,Yes,4.0
SHP0004,2025-04-17,North,Road,2835,131.07,Standard,6.11,59.83,1808.28,3.69,Yes,4.9
SHP0005,2025-03-13,North,Road,1984,111.6,Standard,3.01,41.08,1530.69,1.32,Yes,5.0
SHP0006,2025-07-08,North,Sea,273,447.82,Standard,1.78,11.94,375.16,1.38,Yes,4.5
SHP0007,2025-01-21,North,Air,2251,131.98,Standard,1.87,7.87,3308.1,2.14,Yes,4.8
SHP0008,2025-04-13,South,Road,2657,90.0,Standard,2.72,54.86,1694.97,9.8,No,2.8
SHP0009,2025-05-02,East,Air,400,325.23,Standard,2.23,4.78,1354.64,9.08,No,3.9
SHP0010,2025-08-03,South,Road,1978,117.2,Standard,4.22,41.82,1312.24,1.94,Yes,4.3
SHP0011,2025-11-27,South,Rail,398,173.21,Express,0.81,12.67,308.89,1.77,Yes,5.0
SHP0012,2025-03-29,North,Road,231,1172.39,Express,5.08,11.87,752.28,1.03,Yes,4.8
SHP0013,2025-04-10,South,Air,686,384.14,Standard,3.1,6.1,1652.69,0.4,Yes,4.8
SHP0014,2025-12-26,East,Air,1067,191.0,Standard,2.16,8.41,1934.27,2.51,Yes,4.2
SHP0015,2025-06-01,East,Road,2276,203.41,Standard,2.94,46.62,1536.68,8.08,No,3.5
SHP0016,2025-05-11,North,Sea,821,417.9,Standard,2.9,28.36,624.43,0.6,Yes,4.9
SHP0017,2025-05-30,South,Road,2991,352.13,Standard,5.65,63.34,2038.82,2.56,Yes,4.2
SHP0018,2025-11-05,South,Road,1065,233.44,Express,6.86,35.49,876.2,3.66,Yes,4.1
SHP0019,2025-09-15,West,Road,2161,238.05,Standard,4.14,45.48,1487.64,0.82,Yes,5.0
SHP0020,2025-12-10,East,Road,78,78.58,Standard,6.26,11.1,309.87,2.36,Yes,4.6
SHP0021,2025-10-21,East,Road,2469,67.83,Express,4.53,51.97,1625.74,0.87,Yes,4.3
SHP0022,2025-07-11,South,Rail,2194,195.63,Express,4.39,36.61,1138.26,13.9,No,3.3
SHP0023,2025-10-04,West,Air,1943,142.12,Express,3.3,8.48,3080.88,0.27,Yes,4.7
